Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,278.000000,282.600006,268.549988,269.750000,256.625519,53222525
2020-12-15,268.549988,275.500000,266.018005,270.750000,257.576874,87112918
2020-12-16,271.950012,276.750000,267.799988,272.600006,259.336884,47336707
2020-12-17,273.649994,275.500000,267.799988,269.350006,256.245026,46308612
2020-12-18,269.000000,273.450012,268.250000,271.350006,258.147705,89654141
2020-12-21,261.850006,273.350006,250.899994,258.049988,245.494781,74037177
2020-12-22,255.000000,263.100006,253.300003,258.549988,245.970459,34301381
2020-12-23,258.200012,266.200012,256.549988,265.750000,252.820160,40242580
2020-12-24,266.000000,267.071991,262.649994,263.000000,250.203979,13991203
2020-12-29,263.149994,508.700012,260.950012,262.350006,249.585602,35554834
2020-12-30,262.250000,264.000000,259.049988,259.399994,246.779129,20800281
2020-12-31,256.049988,258.010010,253.050003,254.800003,242.402939,19037935
2021-01-04,257.350006,267.769989,252.800003,254.500000,242.117538,68541911
2021-01-05,255.699997,272.500000,255.550003,272.500000,259.241760,51679499
2021-01-06,280.000000,291.000000,275.700012,289.799988,275.700012,86834204
2021-01-07,293.250000,297.350006,249.750000,295.000000,280.647034,128597618
2021-01-08,296.750000,299.299988,293.089996,298.700012,284.167023,78224628
2021-01-11,297.200012,299.649994,292.500000,298.799988,284.262146,37867052
2021-01-12,301.950012,309.100006,299.250000,305.000000,290.160492,54675065
2021-01-13,307.950012,311.950012,302.500000,303.899994,289.114014,51923962
2021-01-14,303.250000,310.799988,302.649994,309.250000,294.203705,48245526
2021-01-15,309.899994,311.149994,296.600006,302.450012,287.734589,44676583
2021-01-18,298.200012,301.000000,295.500000,300.350006,285.736755,47700699
2021-01-19,302.149994,304.299988,299.299988,301.250000,286.592957,29146696
2021-01-20,300.649994,303.350006,299.170013,302.850006,288.115112,37313657
2021-01-21,302.549988,303.149994,292.549988,293.350006,279.077332,42797551
2021-01-22,288.799988,291.149994,283.600006,290.000000,275.890320,57008357
2021-01-25,291.000000,291.299988,278.299988,280.649994,266.995239,66487011
2021-01-26,279.850006,288.250000,278.795013,282.350006,268.612518,43495648
2021-01-27,279.200012,282.700012,273.950012,282.350006,268.612518,56403948
2021-01-28,275.549988,282.399994,271.799988,276.500000,263.047119,50159927
2021-01-29,272.850006,278.399994,271.500000,271.500000,258.290405,37482798
2021-02-01,274.250000,276.299988,266.450012,267.100006,254.104492,63605096
2021-02-02,260.549988,263.899994,250.350006,255.000000,242.593201,127749256
2021-02-03,255.000000,258.899994,251.050003,258.299988,245.732620,72784840
2021-02-04,259.149994,261.799988,253.649994,254.949997,242.545639,69690819
2021-02-05,255.550003,258.683014,250.500000,252.050003,239.786728,91285362
2021-02-08,253.300003,263.899994,252.100006,261.950012,249.205078,77358530
2021-02-09,265.500000,268.100006,257.289001,259.700012,247.064529,65410333
2021-02-10,262.549988,263.450012,254.000000,259.100006,246.493713,71473243
2021-02-11,259.399994,260.500000,255.250000,257.799988,245.256958,64183771
2021-02-12,256.850006,262.049988,254.750000,261.799988,249.062332,36714525
2021-02-15,266.049988,279.450012,261.799988,278.899994,265.330353,102213508
2021-02-16,281.000000,284.549988,275.299988,278.200012,264.664429,94624303
2021-02-17,280.500000,287.600006,275.976990,280.600006,266.947662,69601073
2021-02-18,280.299988,281.390991,268.500000,269.399994,259.781403,59756797
2021-02-19,265.399994,273.549988,263.899994,272.350006,262.626068,84957417
2021-02-22,273.100006,281.950012,268.700012,279.950012,269.954712,76247048
